,date,store_nbr,item_nbr,unit_sales,family,class,perishable,city,state,type,cluster,is_hot
0,2013-01-02,6,119624,13.0,BEVERAGES,1122,0,Quito,Pichincha,D,13,1
68,2013-01-02,6,122095,3.0,DAIRY,2124,1,Quito,Pichincha,D,13,0
1,2013-01-04,6,119624,24.0,BEVERAGES,1122,0,Quito,Pichincha,D,13,1
69,2013-01-04,6,122095,3.0,DAIRY,2124,1,Quito,Pichincha,D,13,0
2,2013-01-05,6,119624,45.0,BEVERAGES,1122,0,Quito,Pichincha,D,13,1
70,2013-01-05,6,122095,2.0,DAIRY,2124,1,Quito,Pichincha,D,13,0
3,2013-01-07,6,119624,13.0,BEVERAGES,1122,0,Quito,Pichincha,D,13,1
127,2013-01-07,6,121964,1.0,AUTOMOTIVE,6810,0,Quito,Pichincha,D,13,0
128,2013-01-08,6,121964,2.0,AUTOMOTIVE,6810,0,Quito,Pichincha,D,13,0
4,2013-01-08,6,119624,15.0,BEVERAGES,1122,0,Quito,Pichincha,D,13,1
71,2013-02-01,6,122095,1.0,DAIRY,2124,1,Quito,Pichincha,D,13,0
5,2013-02-01,6,119624,20.0,BEVERAGES,1122,0,Quito,Pichincha,D,13,1
129,2013-02-02,6,121964,3.0,AUTOMOTIVE,6810,0,Quito,Pichincha,D,13,0
6,2013-02-02,6,119624,29.0,BEVERAGES,1122,0,Quito,Pichincha,D,13,1
72,2013-02-02,6,122095,5.0,DAIRY,2124,1,Quito,Pichincha,D,13,1
73,2013-02-04,6,122095,2.0,DAIRY,2124,1,Quito,Pichincha,D,13,0
130,2013-02-04,6,121964,1.0,AUTOMOTIVE,6810,0,Quito,Pichincha,D,13,0
7,2013-02-05,6,119624,5.0,BEVERAGES,1122,0,Quito,Pichincha,D,13,0
74,2013-02-05,6,122095,1.0,DAIRY,2124,1,Quito,Pichincha,D,13,0
75,2013-02-07,6,122095,4.0,DAIRY,2124,1,Quito,Pichincha,D,13,1
8,2013-02-07,6,119624,6.0,BEVERAGES,1122,0,Quito,Pichincha,D,13,0
76,2013-02-08,6,122095,2.0,DAIRY,2124,1,Quito,Pichincha,D,13,0
131,2013-02-08,6,121964,16.0,AUTOMOTIVE,6810,0,Quito,Pichincha,D,13,1
9,2013-02-08,6,119624,11.0,BEVERAGES,1122,0,Quito,Pichincha,D,13,0
77,2013-03-01,6,122095,3.0,DAIRY,2124,1,Quito,Pichincha,D,13,0
10,2013-03-01,6,119624,19.0,BEVERAGES,1122,0,Quito,Pichincha,D,13,1
132,2013-03-01,6,121964,1.0,AUTOMOTIVE,6810,0,Quito,Pichincha,D,13,0
78,2013-03-02,6,122095,4.0,DAIRY,2124,1,Quito,Pichincha,D,13,1
11,2013-03-02,6,119624,11.0,BEVERAGES,1122,0,Quito,Pichincha,D,13,0
133,2013-03-02,6,121964,2.0,AUTOMOTIVE,6810,0,Quito,Pichincha,D,13,0
79,2013-03-04,6,122095,2.0,DAIRY,2124,1,Quito,Pichincha,D,13,0
134,2013-03-04,6,121964,2.0,AUTOMOTIVE,6810,0,Quito,Pichincha,D,13,0
12,2013-03-05,6,119624,12.0,BEVERAGES,1122,0,Quito,Pichincha,D,13,1
135,2013-03-07,6,121964,2.0,AUTOMOTIVE,6810,0,Quito,Pichincha,D,13,0
13,2013-03-07,6,119624,4.0,BEVERAGES,1122,0,Quito,Pichincha,D,13,0
80,2013-03-08,6,122095,2.0,DAIRY,2124,1,Quito,Pichincha,D,13,0
14,2013-03-08,6,119624,11.0,BEVERAGES,1122,0,Quito,Pichincha,D,13,0
81,2013-04-01,6,122095,2.0,DAIRY,2124,1,Quito,Pichincha,D,13,0
15,2013-04-01,6,119624,2.0,BEVERAGES,1122,0,Quito,Pichincha,D,13,0
136,2013-04-01,6,121964,1.0,AUTOMOTIVE,6810,0,Quito,Pichincha,D,13,0
137,2013-04-02,6,121964,1.0,AUTOMOTIVE,6810,0,Quito,Pichincha,D,13,0
82,2013-04-02,6,122095,1.0,DAIRY,2124,1,Quito,Pichincha,D,13,0
16,2013-04-02,6,119624,3.0,BEVERAGES,1122,0,Quito,Pichincha,D,13,0
17,2013-04-04,6,119624,9.0,BEVERAGES,1122,0,Quito,Pichincha,D,13,0
18,2013-04-05,6,119624,15.0,BEVERAGES,1122,0,Quito,Pichincha,D,13,1
83,2013-04-05,6,122095,3.0,DAIRY,2124,1,Quito,Pichincha,D,13,0
138,2013-04-05,6,121964,1.0,AUTOMOTIVE,6810,0,Quito,Pichincha,D,13,0
19,2013-04-07,6,119624,23.0,BEVERAGES,1122,0,Quito,Pichincha,D,13,1
84,2013-04-07,6,122095,5.0,DAIRY,2124,1,Quito,Pichincha,D,13,1
139,2013-04-07,6,121964,1.0,AUTOMOTIVE,6810,0,Quito,Pichincha,D,13,0
140,2013-04-08,6,121964,3.0,AUTOMOTIVE,6810,0,Quito,Pichincha,D,13,0
20,2013-04-08,6,119624,10.0,BEVERAGES,1122,0,Quito,Pichincha,D,13,0
85,2013-04-08,6,122095,3.0,DAIRY,2124,1,Quito,Pichincha,D,13,0
141,2013-05-01,6,121964,1.0,AUTOMOTIVE,6810,0,Quito,Pichincha,D,13,0
21,2013-05-01,6,119624,11.0,BEVERAGES,1122,0,Quito,Pichincha,D,13,0
86,2013-05-01,6,122095,3.0,DAIRY,2124,1,Quito,Pichincha,D,13,0
142,2013-05-02,6,121964,11.0,AUTOMOTIVE,6810,0,Quito,Pichincha,D,13,1
87,2013-05-02,6,122095,2.0,DAIRY,2124,1,Quito,Pichincha,D,13,0
22,2013-05-02,6,119624,5.0,BEVERAGES,1122,0,Quito,Pichincha,D,13,0
88,2013-05-04,6,122095,3.0,DAIRY,2124,1,Quito,Pichincha,D,13,0
23,2013-05-04,6,119624,14.0,BEVERAGES,1122,0,Quito,Pichincha,D,13,1
24,2013-05-05,6,119624,11.0,BEVERAGES,1122,0,Quito,Pichincha,D,13,0
